month,day,user_id
9,20,20
9,21,16
9,22,28
9,23,46
9,24,222
9,25,189
9,26,104
9,27,98
9,28,120
9,29,264
9,30,133
10,1,96
10,2,64
10,3,49
10,4,48
10,5,69
10,6,102
10,7,59
10,8,40
10,9,30
10,10,30
10,11,26
